time,temperature,density,fusion_power,E_field,control_signal
1.71,1.0051604500524007,1.164553287605221e+19,2.393035247095252e-05,0.0,26.132356694644656
1.72,1.001147838824802,1.1655066864056136e+19,2.3921660011840798e-05,0.0,26.192247446507956
1.73,0.9971512459839824,1.1664600470708169e+19,2.391293714416468e-05,0.0,26.25209871438443
1.74,0.993170607584371,1.1674133696023562e+19,2.3904183959661242e-05,0.0,26.31191065589455
1.75,0.9892058599356686,1.168366654001757e+19,2.3895400549959087e-05,0.0,26.371683428029627
1.76,0.985256939601828,1.1693199002705445e+19,2.388658700657809e-05,0.0,26.43141718715419
1.77,0.9813237834000399,1.1702731084102437e+19,2.3877743420929185e-05,0.0,26.49111208900861
1.78,0.9774063283997211,1.17122627842238e+19,2.3868869884314164e-05,0.0,26.55076828871151
1.79,0.9735045119215079,1.1721794103084782e+19,2.3859966487925447e-05,0.0,26.6103859407623
1.8,0.9696182715362535,1.1731325040700635e+19,2.3851033322845865e-05,0.0,26.669965199043624
1.81,0.9657475450640287,1.174085559708661e+19,2.384207048004844e-05,0.0,26.729506216823808
1.82,0.9618922705731277,1.1750385772257952e+19,2.3833078050396204e-05,0.0,26.789009146759362
1.83,0.958052386379076,1.1759915566229912e+19,2.382405612464196e-05,0.0,26.848474140897324
1.84,0.9542278310436448,1.1769444979017736e+19,2.3815004793428087e-05,0.0,26.907901350677832
1.85,0.9504185433738671,1.1778974010636673e+19,2.3805924147286328e-05,0.0,26.967290926936457
1.86,0.9466244624210589,1.1788502661101967e+19,2.3796814276637603e-05,0.0,27.026643019906587
1.87,0.9428455274798441,1.1798030930428867e+19,2.37876752717918e-05,0.0,27.085957779221932
1.8800000000000001,0.9390816780871829,1.1807558818632616e+19,2.3778507222947568e-05,0.0,27.145235353918828
1.8900000000000001,0.9353328540214049,1.1817086325728459e+19,2.3769310220192103e-05,0.0,27.204475892438673
1.9000000000000001,0.9315989953012448,1.1826613451731638e+19,2.3760084353501004e-05,0.0,27.26367954263028
1.9100000000000001,0.9278800421848836,1.18361401966574e+19,2.3750829712738034e-05,0.0,27.322846451752262
1.92,0.9241759351689921,1.1845666560520987e+19,2.3741546387654947e-05,0.0,27.38197676647532
1.93,0.9204866149877791,1.185519254333764e+19,2.3732234467891292e-05,0.0,27.441070632884717
1.94,0.9168120226120428,1.18647181451226e+19,2.3722894042974206e-05,0.0,27.500128196482514
1.95,0.9131520992482268,1.187424336589111e+19,2.371352520231827e-05,0.0,27.559149602189915
1.96,0.9095067863374794,1.1883768205658409e+19,2.3704128035225277e-05,0.0,27.61813499434959
1.97,0.9058760255547161,1.1893292664439736e+19,2.3694702630884096e-05,0.0,27.677084516728016
1.98,0.902259758807687,1.1902816742250332e+19,2.3685249078370455e-05,0.0,27.73599831251774
